date_of_issuance,date_of_expiry,providers_confidential,entities_to_whom_pic_granted_confidential,subject_matter_confidential,pic_granted,mat_established,notes,amendment_intent,usages_confidential,id,year_of_issuance,year_of_expiry
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_194,2021,NA
2020-02-18,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_195,2020,NA
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_196,2021,NA
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_197,2021,NA
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_198,2021,NA
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_199,2021,NA
2020-02-14,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_200,2020,NA
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_201,2021,NA
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_202,2021,NA
2021-01-18,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_203,2021,NA
2019-12-10,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_204,2019,NA
2019-12-10,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_205,2019,NA
2020-01-16,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_206,2020,NA
2020-01-16,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_207,2020,NA
2020-01-16,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_208,2020,NA
2020-01-16,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_209,2020,NA
2019-10-24,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_210,2019,NA
2020-09-23,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_211,2020,NA
2020-09-23,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_212,2020,NA
2020-01-16,NA,FALSE,FALSE,NA,TRUE,TRUE,NA,NA,FALSE,ircc_213,2020,NA
